"發病年週","確定病例數","預警值","流行閾值"
"202201",305,,
"202202",475,,
"202203",482,,
"202204",414,,
"202205",404,,
"202206",407,,
"202207",445,,
"202208",413,,
"202209",417,,
"202210",452,,
"202211",610,,
"202212",829,,
"202213",1764,,
"202214",3286,,
"202215",7701,,
"202216",24309,,
"202217",84383,,
"202218",234167,,
"202219",412419,,
"202220",547063,,
"202221",561190,,
"202222",510679,,
"202223",485548,,
"202224",402170,,
"202225",317401,,
"202226",256818,,
"202227",211302,,
"202228",182565,,
"202229",165731,,
"202230",157547,,
"202231",150547,,
"202232",149918,,
"202233",154540,,
"202234",178465,,
"202235",221492,,
"202236",239493,,
"202237",288204,,
"202238",279532,,
"202239",297652,,
"202240",323925,,
"202241",312144,,
"202242",266172,,
"202243",239825,,
"202244",197403,,
"202245",146623,,
"202246",128576,,
"202247",104658,,
"202248",101532,,
"202249",100970,,
"202250",107857,,
"202251",121355,,
"202252",173467,,
"202301",182352,,
"202302",154256,,
"202303",133909,,
"202304",140213,,
"202305",185299,,
"202306",140189,,
"202307",115896,,
"202308",11907,,
