country_ch,country_en,cases,deaths
美國,United States,"98,568,957","1,105,096"
印度,India,"44,674,981","530,658"
法國,France,"38,515,721","159,870"
德國,Germany,"36,758,926","158,966"
巴西,Brazil,"35,643,770","691,015"
韓國,South Korea,"27,754,149","31,099"
日本,Japan,"26,132,159","51,829"
義大利,Italy,"24,709,404","182,419"
英國,United Kingdom,"24,053,576","197,723"
俄羅斯,Russia,"21,671,528","392,661"
土耳其,Turkey,"17,042,722","101,492"
西班牙,Spain,"13,632,635","116,422"
越南,Vietnam,"11,521,022","43,178"
澳洲,Australia,"10,862,500","16,462"
阿根廷,Argentina,"9,766,975","130,041"
荷蘭,Netherlands,"8,550,311","22,936"
臺灣,Taiwan,"8,481,040","14,710"
伊朗,Iran,"7,560,217","144,658"
墨西哥,Mexico,"7,156,730","330,667"
印尼,Indonesia,"6,700,015","160,255"
波蘭,Poland,"6,357,700","118,382"
哥倫比亞,Colombia,"6,323,357","141,943"
奧地利,Austria,"5,616,644","21,265"
葡萄牙,Portugal,"5,549,479","25,584"
希臘,Greece,"5,448,700","34,482"
烏克蘭,Ukraine,"5,346,094","110,640"
馬來西亞,Malaysia,"5,011,443","36,769"
智利,Chile,"4,961,151","62,745"
以色列,Israel,"4,739,416","11,919"
泰國,Thailand,"4,715,489","33,392"
比利時,Belgium,"4,648,042","33,100"
捷克,Czech Republic,"4,567,493","41,957"
加拿大,Canada,"4,440,839","48,353"
秘魯,Peru,"4,359,209","217,657"
瑞士,Switzerland,"4,356,577","13,845"
菲律賓,Philippines,"4,050,045","64,902"
南非,South Africa,"4,045,262","102,550"
羅馬尼亞,Romania,"3,301,662","67,310"
丹麥,Denmark,"3,201,325","7,645"
瑞典,Sweden,"2,640,369","21,234"
伊拉克,Iraq,"2,464,375","25,366"
塞爾維亞,Serbia,"2,430,656","17,441"
香港,Hong Kong,"2,261,726","10,984"
新加坡,Singapore,"2,181,788","1,707"
匈牙利,Hungary,"2,171,056","48,337"
孟加拉,Bangladesh,"2,036,825","29,437"
紐西蘭,New Zealand,"1,988,259","2,257"
斯洛伐克,Slovakia,"1,857,211","20,764"
喬治亞,Georgia,"1,807,654","16,888"
約旦,Jordan,"1,746,997","14,122"
愛爾蘭,Ireland,"1,680,548","8,159"
巴基斯坦,Pakistan,"1,575,480","30,635"
挪威,Norway,"1,471,132","4,498"
芬蘭,Finland,"1,417,909","7,572"
哈薩克,Kazakhstan,"1,398,810","13,694"
保加利亞,Bulgaria,"1,289,255","38,067"
立陶宛,Lithuania,"1,280,625","9,442"
斯洛維尼亞,Slovenia,"1,276,150","6,955"
摩洛哥,Morocco,"1,270,179","16,288"
克羅埃西亞,Croatia,"1,257,099","17,415"
黎巴嫩,Lebanon,"1,221,182","10,741"
瓜地馬拉,Guatemala,"1,172,149","19,964"
哥斯大黎加,Costa Rica,"1,148,914","9,046"
突尼西亞,Tunisia,"1,147,145","29,269"
玻利維亞,Bolivia,"1,118,919","22,253"
古巴,Cuba,"1,111,564","8,530"
阿拉伯聯合大公國,UAE,"1,045,616","2,348"
厄瓜多,Ecuador,"1,011,132","35,940"
巴拿馬,Panama,"1,009,252","8,533"
尼泊爾,Nepal,"1,000,939","12,019"
烏拉圭,Uruguay,"998,047","7,548"
白俄羅斯,Belarus,"994,037","7,118"
拉脫維亞,Latvia,"968,527","6,108"
沙烏地阿拉伯,Saudi Arabia,"826,259","9,486"
亞塞拜然,Azerbaijan,"824,879","9,987"
巴拉圭,Paraguay,"778,895","19,646"
巴勒斯坦,Palestine,"703,036","5,708"
巴林,Bahrain,"697,461","1,536"
斯里蘭卡,Sri Lanka,"671,761","16,808"
科威特,Kuwait,"662,747","2,570"
多明尼加,Dominican,"650,990","4,384"
緬甸,Myanmar,"633,462","19,488"
賽普勒斯,Cyprus,"622,101","1,242"
愛沙尼亞,Estonia,"609,769","2,799"
摩爾多瓦,Moldova,"595,402","11,920"
委內瑞拉,Venezuela,"548,407","5,830"
蒙古,Mongolia,"544,075","2,135"
埃及,Egypt,"515,645","24,613"
利比亞,Libya,"507,100","6,437"
衣索比亞,Ethiopia,"495,284","7,572"
卡達,Qatar,"484,658",685
宏都拉斯,Honduras,"460,714","11,054"
亞美尼亞,Armenia,"445,881","8,712"
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"400,698","16,215"
阿曼,Oman,"399,119","4,260"
中國大陸,China,"367,637","5,235"
北馬其頓,North Macedonia,"345,067","9,591"
肯亞,Kenya,"342,120","5,684"
尚比亞,Zambia,"333,746","4,019"
阿爾巴尼亞,Albania,"333,535","3,593"
波札那,Botswana,"327,061","2,793"
盧森堡,Luxembourg,"297,757","1,133"
蒙特內哥羅,Montenegro,"284,137","2,790"
模里西斯,Mauritius,"281,163","1,036"
